plate,part,posX,posY,rotation
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Foot_Front_x2.STL,11.5,12,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Foot_Rear_x2.STL,8,35.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Z_Endstop_Mount_x1.STL,11.5,64,180
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Mount_Bracket_x1.STL,18.5,97,0
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Guidler_Door_x1.STL,11,136,0
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Foot_Front_x2.STL,11.5,171,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,12.5,81,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Belt_Retention_Block_x1.STL,12,196,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,15.5,52,270
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_Shuttle_x1.STL,23,30.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Tensioner_Knob_x2.STL,39,54.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,12.5,108,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Foot_Rear_x2.STL,8,221.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,28.5,4,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,21.5,76,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_A_Drive_Tensioner_x1.STL,39.5,134.5,0
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_B_Drive_Tensioner_x1.STL,59,17.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_9mm_Printed_Spacer_x6.STL,21.5,85,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Endstop_Strike_Block_x1.STL,32.5,79,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Z_Leadscrew_Spacer_x1.STL,23.5,216.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\[a]_Tensioner_Knob_x2.STL,41,180.5,270
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_x1.STL,37,213,180
