plate,part,posX,posY,rotation
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,3,72.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\A_Idler_Top_x1.STL,14.5,17.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\RPi_Frame_x1.STL,36.5,94.5,0
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\MGN7_Rail_Guide_x2.STL,7.5,164.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,33,153,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,70,72.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\B_Drive_Frame_Bottom_x1.STL,74,177.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\XY_Joint_Right_Bottom_x1.STL,16,223,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Rear_Bed_Mount_Right_x1.STL,97.5,33,0
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\B_Drive_Frame_Top_x1.STL,99,97.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,72.5,246.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_x3.STL,82,223,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Rear_Bed_Mount_Left_x1.STL,45,23.5,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\B_Idler_Top_x1.STL,104,7.5,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\MGN7_Rail_Guide_x2.STL,7.5,184.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\B_Idler_Bottom_x1.STL,92,135.5,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\XY_Joint_Left_Bottom_x1.STL,117,163,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\A_Drive_Frame_Bottom_x1.STL,148,31.5,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\XY_Joint_Right_Top_x1.STL,141,80.5,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\V0_Extrusion_Drilling_Guide_x1.STL,121,193.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,145,162.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,152,162.5,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,172,113,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Z_Motor_Mount_x1.STL,191.5,204,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_x3.STL,203,51,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,234,51,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Front_Bed_Mount_x1.STL,202,136,180
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\T8_Nut_Block_x1.STL,231,120,90
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\XY_Joint_Left_Top_x1.STL,233,157.5,270
1,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\A_Idler_Bottom_x1.STL,132.5,117.5,180
2,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Spool_Holder_V0_x1.STL,20,49.5,90
2,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\A_Drive_Frame_Top_x1.STL,25,129.5,90
2,C:\Users\Square\Desktop\Voron Project\Voron-0-master\VORON-0\STLs\VORON0.0\Skirt_x3.STL,59,50,270
