plate,part,posX,posY,rotation
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\Pocketwatch_Guts_x1.STL,18,29.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_x3.STL,16,109.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\XY_Joint_Right_Bottom_x1.STL,16.5,180.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_x3.STL,53,50.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\RPi_Frame_x1.STL,62,152,0
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,51,227,0
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\Motor_Frame_x1.STL,69.5,192,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Rear_Bed_Mount_Right_x1.STL,93,33,0
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,73,247,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\B_Idler_Bottom_x1.STL,18,258,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,107.5,117,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Z_Motor_Mount_x1.STL,147,36,0
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Spool_Holder_V0_x1.STL,139.5,126,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\MGN7_Rail_Guide_x2.STL,59,112.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\T8_Nut_Block_x1.STL,113,194.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\B_Idler_Top_x1.STL,50.5,258.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Front_Bed_Mount_x1.STL,165.5,120.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Rear_Bed_Mount_Left_x1.STL,145.5,218.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\MGN7_Rail_Guide_x2.STL,63,165,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,142,254,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\B_Drive_Frame_Top_x1.STL,185.5,188.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\A_Drive_Frame_Top_x1.STL,206.5,82.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\A_Idler_Top_x1.STL,77,69.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\XY_Joint_Right_Top_x1.STL,190.5,19,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,142,261,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_x3.STL,228,164.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\A_Idler_Bottom_x1.STL,99,8,270
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\XY_Joint_Left_Top_x1.STL,214,27.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\Skirt_mirror_x3.STL,249.5,51,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,247,175,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\M2_Nut_Adapter_Rotated_x5.STL,254,175,180
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\XY_Joint_Left_Bottom_x1.STL,215.5,240,90
1,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\V0_Extrusion_Drilling_Guide_x1.STL,192,135,90
2,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\B_Drive_Frame_Bottom_x1.STL,26.5,31.5,90
2,D:\Voron\Voron-0\VORON-0\STLs\VORON0.0\A_Drive_Frame_Bottom_x1.STL,26.5,94.5,90
