plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,4.5,8.5,180
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,6,26,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,15,24,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,65,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,13.5,107.5,270
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,13,155.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,197,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,15,236,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,35.5,40.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,27.5,152.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,17.5,267.5,180
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,31,107.5,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,38.5,10.5,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,53,209.5,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,28,73.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,60,24,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,54.5,67.5,180
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,8.5,284.5,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,30.5,242.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,55.5,97,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,56.5,133,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,46.5,271,90
