plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,15,21,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,5,49.5,90
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,13.5,82,270
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,5,116.5,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,15,128.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,30.5,178.5,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,16,50,0
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,13,230.5,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,14.5,77.5,180
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,11,278,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,21.5,17,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,19,91.5,270
