plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,11,17.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,4.5,44.5,180
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,13,77.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,13.5,125.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,15,171,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,20.5,42.5,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,16,72,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,6,199.5,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,10.5,213.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,30.5,252.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,11,305,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,39.5,10.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,38,57.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,38,93.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,38,129.5,270
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,33,184.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,39.5,218.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,35.5,300.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,63,22.5,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,60,62.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,18.5,86.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,60,98.5,270
