plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,18,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,54,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,90,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,126,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,6,152.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,30.5,189.5,0
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,13,241.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,32.5,18,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,35.5,60.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,11,289,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,20.5,154.5,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,28,93,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,32.5,120,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,57.5,24.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,27.5,238.5,180
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,10.5,324.5,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,32.5,283,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,33,142.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,41.5,90.5,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,49,137.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,64,69,90
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,42,236.5,90
