plate,part,posX,posY,rotation
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\AB_Drive\a_drive_frame_upper_x1_Rev1.STL,29.5,67,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\AB_Drive\b_drive_frame_upper_x1_Rev1.STL,29.5,202,270
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\AB_Drive\b_drive_frame_lower_x1_Rev1.STL,76,35,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\AB_Drive\a_drive_frame_lower_x1_Rev1.stl,76,223,270
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_b_x2_Rev1.STL,95.5,108.5,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_b_x2_Rev1.STL,161,123,180
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_mirror_b_x2_Rev1.STL,193.5,36,270
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_mirror_b_x2_Rev1.STL,179,222,180
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Electronics_Mounting\rpi_mounting_bracket_x1_Rev1.stl,239,125,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Misc\spool_holder_x1_Rev1.stl,225.5,238.5,90
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Electronics_Mounting\meanwell_rs_25_##_mounting_bracket_x1_Rev1.STL,263.5,182,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\x_carriage_frame_rhs_x1_Rev1.STL,78,266.5,270
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\Toolhead\4010_v6_+_mosquito_cooling_fan_duct_right_x1_Rev1.STL,252,25.5,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Front_Idlers\front_idler_b_lower_x1_Rev1.STL,260.5,242.5,270
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Electronics_Mounting\meanwell_lrs_bracket_b_x1_Rev2.stl,77,169,90
1,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\frame_spacer_rev1.stl,271.5,93,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\x_carriage_frame_zipchain_bar_+20mm_x1_Rev1.STL,13.5,135,0
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Electronics_Mounting\meanwell_lrs_bracket_a_x1_Rev2.stl,39.5,75.5,270
1,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\left_side_plate_b_rev1.stl,87.5,168,180
1,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\right_side_plate_b_rev1.stl,114.5,183,180
1,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Endstop\microswitch_pulley_housing_mg2t_20t_x1_Rev1.STL,240,78.5,270
