plate,part,posX,posY,rotation
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_right_a.stl,26,13.5,270
1,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_middle.stl,116.5,34.5,180
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_2020_Mount_x2.stl,190,30,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_left_a.stl,26,40.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_motor_mount_b.stl,25.5,93.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\extruder_body.stl,82.5,98,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_motor_mount_a.stl,145.5,92,90
1,D:\Voron\Voron-Switchwire\STL\Electronics\3030_wire_clip.stl,80,10.5,0
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_left.stl,214,23,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,213.5,59.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,193.5,85.5,180
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_3030_Mount_x2.stl,225.5,75,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\x_carriage_frame_left.stl,202.5,134.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\x_chain_anchor_generic.stl,132,127.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_mount_plate.stl,96.5,138.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\pinion.stl,156,90.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_idler_bracket.stl,25.5,108,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_mount.stl,45,168.5,270
1,D:\Voron\Voron-Switchwire\STL\Electronics\skr_mini_e3_mount.stl,148.5,168,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\upper_idler_support_a_left.stl,16,195.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\2020_MGN12_guide_x2.stl,57.5,194,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\x_carriage_frame_right.stl,203,209,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_left_b.stl,26,222.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_belt_anchor.stl,82,222.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\2020_MGN12_guide_x2.stl,127.5,221,180
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_3030_Mount_x2.stl,221.5,92.5,0
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_2020_Mount_x2.stl,29,141,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\probe_retainer_bracket.stl,234.5,9.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\latch_shuttle.stl,158,127.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_gantry_anchor.stl,204,182.5,0
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\upper_idler_support_a_right.stl,154.5,223.5,180
2,D:\Voron\Voron-Switchwire\STL\Electronics\einsy_rambo_mount.stl,77,38.5,270
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\x_motor_mount_a.stl,193,23,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\3030_MGN12_guide_x2.stl,148.5,29,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_carriage_drill_guide.stl,154.5,62.5,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_motor_mount_a.stl,22.5,80,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_right_b.stl,207,60.5,270
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\hotend_fan_mount.stl,77.5,92.5,270
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_motor_mount_b.stl,140.5,104.5,270
2,D:\Voron\Voron-Switchwire\STL\spool_holder.stl,55,137.5,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\x_motor_mount_b.stl,203.5,114,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_right_generic.stl,135,143.5,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\blower_housing_rear.stl,182,158.5,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\3030_MGN12_guide_x2.stl,29.5,163,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_right_igus.stl,75,168.5,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,12.5,25,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_idler_upper.stl,119,177,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\extruder_motor_plate.stl,30.5,206.5,180
2,D:\Voron\Voron-Switchwire\STL\Electronics\raspberry_pi_zero_shelf.stl,170,185.5,270
2,D:\Voron\Voron-Switchwire\STL\Electronics\rs_25_mount.stl,107.5,211.5,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_idler_lower.stl,192.5,221,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\x_chain_anchor_igus.stl,72,19.5,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\heatbed_terminals_cover.stl,218.5,24,180
3,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_left_filtered.stl,62,34.5,180
3,D:\Voron\Voron-Switchwire\STL\spool_holder_base.stl,159.5,77,270
3,D:\Voron\Voron-Switchwire\STL\Electronics\raspberry_pi_mount.stl,190,59.5,0
3,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_right.stl,62,104.5,180
