plate,part,posX,posY,rotation
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_xz_tensioner_x2.stl,8.5,10.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_xz_tensioner_x2.stl,8.5,31.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_z_chain_lower_mount_generic.stl,19,67,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\[a]_y_chain_frame_mount_igus.stl,9.5,118.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\[a]_x_bearing_block.stl,14,163,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\[a]_y_chain_frame_mount_generic.stl,9.5,206.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\[a]_xz_belt_clip_x2.stl,12.5,76.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_upper_idler_support_b_left.stl,15.5,259,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_xz_cable_cover.stl,37,102,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,41,11,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\[a]_xz_belt_clip_x2.stl,22.5,31.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\[a]_y_belt_clip.stl,25.5,193.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,51.5,35,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\[a]_connector_cover.stl,46,168,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_upper_idler_support_b_right.stl,57.5,108,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\[a]_y_chain_bed_mount_igus.stl,40.5,223,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\[a]_z_chain_lower_mount_igus.stl,51,264,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\[a]_blower_housing_front.stl,96,30.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\[a]_y_chain_bed_mount_generic.stl,60,275,90
