plate,part,posX,posY,rotation
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\hotend_fan_mount.stl,30.5,34,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_left_a.stl,13.5,92,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\x_carriage_frame_left.stl,30.5,153,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_right_generic.stl,15,213,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\pinion.stl,25.5,38,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_motor_mount_a.stl,39.5,259.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_left.stl,43,91,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_motor_mount_a.stl,54.5,179.5,180
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_2020_Mount_x2.stl,70,30,90
1,D:\Voron\Voron-Switchwire\STL\spool_holder_base.stl,83,158.5,90
1,D:\Voron\Voron-Switchwire\STL\spool_holder.stl,97,269.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\2020_MGN12_guide_x2.stl,65.5,130.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\probe_retainer_bracket.stl,25.5,5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\extruder_body.stl,102,47.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_belt_anchor.stl,132.5,108,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\upper_idler_support_a_right.stl,95,246.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_idler_bracket.stl,21,260.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_gantry_anchor.stl,136.5,13,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,139,40.5,270
1,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_left_filtered.stl,180,173.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_carriage_drill_guide.stl,137,233.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\upper_idler_support_a_left.stl,147,66.5,270
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_3030_Mount_x2.stl,39.5,224.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_mount.stl,175,45,0
1,D:\Voron\Voron-Switchwire\STL\Electronics\rs_25_mount.stl,198.5,47,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\keybak_mount_plate.stl,178.5,107.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_motor_mount_b.stl,188.5,247.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_motor_mount_b.stl,229.5,39,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\x_chain_anchor_igus.stl,209,125,0
1,D:\Voron\Voron-Switchwire\STL\Gantry\2020_MGN12_guide_x2.stl,222,95,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\3030_MGN12_guide_x2.stl,228,230,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_right_a.stl,231.5,171,0
1,D:\Voron\Voron-Switchwire\STL\Electronics\3030_wire_clip.stl,4.5,258.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_bearing_block_right_igus.stl,247,57.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\3030_MGN12_guide_x2.stl,239.5,106.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\x_carriage_frame_right.stl,250,252,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_right_b.stl,259.5,153,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\x_chain_anchor_generic.stl,257,86.5,180
1,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\heatbed_terminals_cover.stl,262.5,18.5,270
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_3030_Mount_x2.stl,49,197.5,90
1,D:\Voron\Voron-Switchwire\STL\Electronics\raspberry_pi_zero_shelf.stl,263,214,0
1,D:\Voron\Voron-Switchwire\STL\Electronics\PS_2020_Mount_x2.stl,280,30,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\xz_block_left_b.stl,275,115,0
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,184,160.5,270
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\latch_shuttle.stl,92.5,8.5,90
1,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\z_carriage_stop_x3.stl,274.5,204.5,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\x_motor_mount_b.stl,23,39.5,0
2,D:\Voron\Voron-Switchwire\STL\Electronics\raspberry_pi_mount.stl,31.5,138.5,180
2,D:\Voron\Voron-Switchwire\STL\Electronics\einsy_rambo_mount.stl,49,212,0
2,D:\Voron\Voron-Switchwire\STL\Electronics\skr_mini_e3_mount.stl,78,69,0
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_idler_lower.stl,103.5,176.5,180
2,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_middle.stl,152.5,66,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\Direct_Feed\extruder_motor_plate.stl,110.5,247,90
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\x_motor_mount_a.stl,142,171.5,0
2,D:\Voron\Voron-Switchwire\STL\Grills\grill_rear_right.stl,197,209.5,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\Y_Axis\y_idler_upper.stl,151.5,265,180
2,D:\Voron\Voron-Switchwire\STL\Gantry\XZ_Axis\X_Carriage\blower_housing_rear.stl,218.5,28,180
